dataset,sample_id,reference_text,pred_text,wer,avg_logprob,no_speech_prob,compression_ratio,label_3class,hallucination_binary,annotator_id,notes,source_file,meeting_id,speaker,noise_type,snr_db,audio_path,y,lm_avg_neg_logprob,lm_perplexity,lm_surprisal_std,repetition_ratio,unique_token_ratio,token_count
adversarial,adv_2961-960-0003,THEY WERE ABSORBED IN HIS THEOLOGY AND WERE UNDER THE DOMINION OF HIS NAME WHILE THAT WHICH WAS TRULY GREAT AND TRULY CHARACTERISTIC IN HIM HIS EFFORT TO REALIZE AND CONNECT ABSTRACTIONS WAS NOT UNDERSTOOD BY THEM AT ALL,"They were absorbed in theology and were under the command of the three. While that was truly great and truly direct to this element, this approach realized in the last instructions was not understood by them at all.",1.0,-0.4890616734822591,0.1993405371904373,1.5140845070422533,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.790421962738037,120.35214206961564,3.2585511207580566,0.0,0.7804878048780488,41
adversarial,adv_8555-284447-0017,WHEN THIS HAD BEEN ACCOMPLISHED THE BOOLOOROO LEANED OVER TO TRY TO DISCOVER WHY THE FRAME ROLLED AWAY SEEMINGLY OF ITS OWN ACCORD AND HE WAS THE MORE PUZZLED BECAUSE IT HAD NEVER DONE SUCH A THING BEFORE,And he was one of the most popular victims in the other gun sessions.,1.0,-1.3021903567843969,0.1825880110263824,1.0,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.431952953338623,84.09549121371981,3.2892050743103027,0.0,0.9333333333333333,15
adversarial,adv_2300-131720-0005,WHY IF WE ERECT A STATION AT THE FALLS IT IS A GREAT ECONOMY TO GET IT UP TO THE CITY,"Why, if we erect a station at the falls, it is a great economy to give it up to the city.",1.0,-0.3531595159459997,0.0725543424487114,1.1125,Non-Hallucination Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,4.06795072555542,58.43708617668967,3.235352039337158,0.0,0.7916666666666666,24
adversarial,adv_5142-36377-0022,I WISH YOU GOOD NIGHT SHE LAID HER BONY HANDS ON THE BACK OF MISTER MEADOWCROFT'S INVALID CHAIR CUT HIM SHORT IN HIS FAREWELL SALUTATION TO ME AND WHEELED HIM OUT TO HIS BED AS IF SHE WERE WHEELING HIM OUT TO HIS GRAVE,I wish you would. Today we're going to hand them back with the Symmetacolc Sable Chair. I'm going to shorten this farewell song to the patient. And feel the mouth of the dead and if she will feel the mouth of the spirit.,0.9772727272727272,-0.9216361045837402,0.3405456244945526,1.476510067114094,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.695940971374512,109.5017982366816,3.227684259414673,0.0,0.7454545454545455,55
adversarial,adv_8455-210777-0040,THEN SAID SIR FERDINANDO THERE IS NOTHING FOR IT BUT THAT HE MUST TAKE YOU WITH HIM,"Then, says Sir Fernando, there is nothing for it but that we must take you with him.",1.0,-0.3698254046232804,0.0792505294084549,1.05,Non-Hallucination Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,4.446588516235352,85.33532677945648,2.2449581623077393,0.0,0.95,20
adversarial,adv_5683-32866-0023,ALL THE FURNITURE BELONGED TO OTHER TIMES,All the fractional norms are the same.,1.0,-1.0388978322347004,0.2509231269359588,0.8837209302325582,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.575299263000488,97.05708038432563,3.8609678745269775,0.0,0.8888888888888888,9
adversarial,adv_4992-41806-0001,TO NIGHT THERE WAS NO NEED OF EXTRA HEAT AND THERE WERE GREAT CEREMONIES TO BE OBSERVED IN LIGHTING THE FIRES ON THE HEARTHSTONES,"Tonight there was no leader actually, and there was great tenderness to be a person like the fires on the hearts of animals.",1.0,-0.8864532996868265,0.2917171716690063,1.2783505154639174,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.734495639801025,113.80604500132895,3.4656083583831787,0.0,0.8846153846153846,26
adversarial,adv_8555-292519-0015,HE HAD BROKEN INTO HER COURTYARD,"You have something to be sure of, Kirt Lines.",1.5,-1.2386995553970337,0.3244033753871918,0.8823529411764706,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,5.6097187995910645,273.0674405315779,3.949692964553833,0.0,1.0,12
adversarial,adv_2830-3979-0004,IT WAS WRITTEN IN LATIN,It was written in the writing.,1.2,-0.7395174503326416,0.3984888792037964,0.8823529411764706,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.511559963226318,91.06376388987677,2.733419179916382,0.0,1.0,7
adversarial,adv_3729-6852-0032,SIMPLY BY STOPPING HER CARRIAGE TWO OR THREE TIMES BEFORE THE SHOP TO HAVE HER SNUFF BOX FILLED AND BY SAYING ALOUD TO THE YOUNG GIRL WHO HANDED BACK THE BOX THAT HER SNUFF WAS THE VERY BEST IN PARIS,"Since she was about to be her character two or three times before the shot, an adverb turned off still, and by saying aloud to the young girls who managed to act the most at first not, was a very apt encounter.",1.05,-0.759502615247454,0.334631472826004,1.4583333333333333,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.972865581512451,144.44020006444393,2.8924789428710938,0.0,0.851063829787234,47
adversarial,adv_7127-75946-0020,FAR FROM IT SIRE YOUR MAJESTY HAVING GIVEN NO DIRECTIONS ABOUT IT THE MUSICIANS HAVE RETAINED IT,"On the front of the sire, the majesty has given no directions about it, but the musicians are repented.",1.1176470588235294,-0.595926496717665,0.2735722362995147,1.1839080459770115,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.672805309295654,106.9974828368195,2.865457773208618,0.0,0.8333333333333334,24
adversarial,adv_4446-2271-0005,SHE SAVES HER HAND TOO SHE'S AT HER BEST IN THE SECOND ACT,She saves her hands too. She had her best in the same way.,1.0,-0.7375109990437826,0.1261151731014251,1.0,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,5.170769691467285,176.05028975498712,3.623422145843506,0.0,0.8666666666666667,15
adversarial,adv_8455-210777-0062,WHEN DO YOU INTEND THAT THE JOHN BRIGHT SHALL START,When you intend on the job right shall start.,1.0,-0.5551864183866061,0.1355147957801818,0.8490566037735849,Non-Hallucination Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,6.818124771118164,914.2689380517113,3.7881898880004883,0.0,1.0,10
adversarial,adv_7176-88083-0019,AS HE FLEW HIS DOWN REACHING CLUTCHING TALONS WERE NOT HALF A YARD ABOVE THE FUGITIVE'S HEAD,as he flew down reaching clutching towns from off-capitario to his head.,1.0,-0.8728862035842169,0.1285959780216217,1.0434782608695652,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,7.784942150115967,2404.1270654818873,4.747654438018799,0.0,1.0,17
adversarial,adv_5142-33396-0020,A HOUSE SMELLS OF SMOKE A SHIP SMELLS OF FROLIC,"A house smells of smoke, a ship smells of fire.",0.9,-0.6608584086100261,0.1192348971962928,1.068181818181818,Non-Hallucination Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,4.732054233551025,113.52853710437161,3.9387874603271484,0.0,0.8333333333333334,12
adversarial,adv_672-122797-0059,ONLY THAT ONE ANSWERED THE TREE,Only Act 1. Answer the question.,1.0,-0.8693081048818735,0.1557465642690658,0.8,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,5.214737415313721,183.96350863668127,4.140139102935791,0.0,0.875,8
adversarial,adv_5142-33396-0047,MY MEN POUNDED THE TABLE WITH THEIR FISTS,My hand is in the middle of this.,1.0,-0.7299136320749918,0.2553124129772186,0.8461538461538461,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,3.7939600944519043,44.43200728184824,3.3822274208068848,0.0,1.0,9
adversarial,adv_5105-28240-0021,BEFORE STARTING IT WAS INDISPENSABLE THAT THE ENGINE OF THE DOBRYNA SHOULD BE REPAIRED TO SAIL UNDER CANVAS ONLY WOULD IN CONTRARY WINDS AND ROUGH SEAS BE BOTH TEDIOUS AND DIFFICULT,"Before starting, it was indispensable that the engine under the greener should be repaired. To sail under canvas only wood in contrary winds and rock seas would be both tedious and difficult.",1.032258064516129,-0.2773102085764815,0.0797631368041038,1.3941605839416058,Non-Hallucination Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,5.706161975860596,300.71470033925647,3.86871337890625,0.0,0.8611111111111112,36
adversarial,adv_908-157963-0016,I PASS AWAY YET I COMPLAIN AND NO ONE HEARS MY VOICE,"I pass away. Yeah, I complain. And no one hears my words.",0.8333333333333334,-0.5183856383613918,0.3593835234642029,0.8769230769230769,Non-Hallucination Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,4.80466365814209,122.07842403134595,4.0937275886535645,0.0,0.875,16
adversarial,adv_4970-29095-0015,IF I CAN GET PATIENTS,If I can get patience.,0.8,-0.4892133076985677,0.1263564527034759,0.7333333333333333,Non-Hallucination Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,5.506425857543945,246.26935046758837,3.171113967895508,0.0,1.0,6
adversarial,adv_7127-75947-0035,GOOD GRACIOUS HAS THE KING ANY RIGHT TO INTERFERE IN MATTERS OF THAT KIND,And Croatia says it can't do anything right to interfere in matters of that kind.,1.0714285714285714,-0.7138951778411865,0.2457964569330215,1.08,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.4715704917907715,87.49402381647393,3.5968809127807617,0.0,1.0,17
adversarial,adv_2961-961-0016,I WILL BRIEFLY DESCRIBE THEM TO YOU AND YOU SHALL READ THE ACCOUNT OF THEM AT YOUR LEISURE IN THE SACRED REGISTERS,"I will speak to the scribes to teach them, and shall be encountered at the completion of the state of graduate school.",0.9545454545454546,-0.9182996068681988,0.395900547504425,1.2421052631578948,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.249866962432861,70.09608631355614,3.620091676712036,0.0,0.84,25
adversarial,adv_7127-75947-0003,YES THE CHARACTER WHICH YOUR ROYAL HIGHNESS ASSUMED IS IN PERFECT HARMONY WITH YOUR OWN,"Yes, the character, which you were while behind us assumed, is in perfect harmony with your own.",1.1333333333333333,-0.446178674697876,0.1158660128712654,1.1294117647058823,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.850845813751221,127.84848013002723,2.5950887203216553,0.0,0.9047619047619048,21
adversarial,adv_6930-81414-0020,I SAY YOU DO KNOW WHAT THIS MEANS AND YOU MUST TELL US,"I say, you do know what this means, and you must tell us.",0.9230769230769232,-0.3615864954496685,0.2371041029691696,0.9344262295081968,No Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,3.607719659805298,36.881853676574984,2.143751621246338,0.0,0.875,16
adversarial,adv_908-157963-0018,AND FEAREST THOU BECAUSE I VANISH AND AM SEEN NO MORE,and here's how the Unpanched Innocence is ended.,1.0,-1.1878699196709528,0.2767786681652069,0.8571428571428571,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,5.110957145690918,165.82900145184252,3.0519614219665527,0.0,1.0,15
adversarial,adv_260-123440-0007,I ALMOST THINK I CAN REMEMBER FEELING A LITTLE DIFFERENT,I almost said I didn't ever see it.,0.8,-0.865750239445613,0.4114482700824737,0.813953488372093,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,3.823819875717163,45.7787438686372,3.186126470565796,0.0,1.0,10
adversarial,adv_1188-133604-0028,WELL THEN LAST HERE IS TURNER'S GREEK SCHOOL OF THE HIGHEST CLASS AND YOU DEFINE HIS ART ABSOLUTELY AS FIRST THE DISPLAYING INTENSELY AND WITH THE STERNEST INTELLECT OF NATURAL FORM AS IT IS AND THEN THE ENVELOPMENT OF IT WITH CLOUD AND FIRE,"All then, last, we return to the school of the Highest Five, and we find that our absolute need has certainly been disloyal and intensive, and that concerns me what have gone on at the And then you develop notes, the five and five.",1.0,-1.0262645161341106,0.3207162320613861,1.2558312128922815,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,5.066272735595703,158.5821468311566,3.3722105026245117,0.0,0.7254901960784313,51
adversarial,adv_8230-279154-0023,IN THIS CASE AS IN MOST OTHERS WHAT MAY BE TAKEN AS CERTAIN IN ADVANCE IS RATHER VAGUE,"In this case, as in most others, what they've been taking a certain thing is around your base.",1.0,-0.5207712936401367,0.1375258415937423,1.1058823529411763,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.8811516761779785,131.78234711393372,2.479764699935913,0.0,0.9545454545454546,22
adversarial,adv_8463-294825-0002,FIRST AS A PARIS STOCKBROKER LATER AS A CELEBRATED AUTHOR AND YACHTSMAN HE WENT ON FREQUENT VOYAGES TO BRITAIN AMERICA THE MEDITERRANEAN,"First is Harris Topper, later in summary author and gasman. He went on three foot voyages to Britain, America, and Ed's training.",1.0,-0.8774163458082411,0.205490842461586,1.1517857142857142,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,5.68485689163208,294.3757144081909,4.034121036529541,0.0,0.8709677419354839,31
adversarial,adv_6829-68769-0032,I DISCOVERED AND PUT OUT A FIRE THAT WOULD HAVE DESTROYED THE WHOLE PLANT BUT MARSHALL NEVER EVEN THANKED ME,"I discovered and put out a fire that would have destroyed the whole plant, but Marshall never even picked the.",0.95,-0.5036809539794922,0.1313332915306091,1.1702127659574468,Non-Hallucination Error,no_hallucination,member_4,,adversarial_labels (2).csv,,,,,,0,4.967935085296631,143.72979097842656,3.5422449111938477,0.0,0.9545454545454546,22
adversarial,adv_3575-170457-0027,I CANNOT DENY MYSELF THE GRATIFICATION OF INSERTING SOUTHEY'S REPLY,Thank you for joining us all throughout our presentation. This is a great show to provide.,1.6,-1.0387195918871008,0.1863337755203247,1.125,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.0175909996032715,55.56708333569196,2.4354732036590576,0.0,0.9444444444444444,18
