dataset,sample_id,reference_text,pred_text,wer,avg_logprob,no_speech_prob,compression_ratio,label_3class,hallucination_binary,annotator_id,notes
adversarial,adv_2961-960-0003,THEY WERE ABSORBED IN HIS THEOLOGY AND WERE UNDER THE DOMINION OF HIS NAME WHILE THAT WHICH WAS TRULY GREAT AND TRULY CHARACTERISTIC IN HIM HIS EFFORT TO REALIZE AND CONNECT ABSTRACTIONS WAS NOT UNDERSTOOD BY THEM AT ALL,"They were absorbed in theology and were under the command of the three. While that was truly great and truly direct to this element, this approach realized in the last instructions was not understood by them at all.",1.0,-0.4890616734822591,0.1993405371904373,1.5140845070422533,Hallucination Error,hallucination,member_4,
adversarial,adv_8555-284447-0017,WHEN THIS HAD BEEN ACCOMPLISHED THE BOOLOOROO LEANED OVER TO TRY TO DISCOVER WHY THE FRAME ROLLED AWAY SEEMINGLY OF ITS OWN ACCORD AND HE WAS THE MORE PUZZLED BECAUSE IT HAD NEVER DONE SUCH A THING BEFORE,And he was one of the most popular victims in the other gun sessions.,1.0,-1.3021903567843969,0.1825880110263824,1.0,Hallucination Error,hallucination,member_4,
adversarial,adv_2300-131720-0005,WHY IF WE ERECT A STATION AT THE FALLS IT IS A GREAT ECONOMY TO GET IT UP TO THE CITY,"Why, if we erect a station at the falls, it is a great economy to give it up to the city.",1.0,-0.3531595159459997,0.0725543424487114,1.1125,Non-Hallucination Error,no_hallucination,member_4,
adversarial,adv_5142-36377-0022,I WISH YOU GOOD NIGHT SHE LAID HER BONY HANDS ON THE BACK OF MISTER MEADOWCROFT'S INVALID CHAIR CUT HIM SHORT IN HIS FAREWELL SALUTATION TO ME AND WHEELED HIM OUT TO HIS BED AS IF SHE WERE WHEELING HIM OUT TO HIS GRAVE,I wish you would. Today we're going to hand them back with the Symmetacolc Sable Chair. I'm going to shorten this farewell song to the patient. And feel the mouth of the dead and if she will feel the mouth of the spirit.,0.9772727272727272,-0.9216361045837402,0.3405456244945526,1.476510067114094,Hallucination Error,hallucination,member_4,
adversarial,adv_8455-210777-0040,THEN SAID SIR FERDINANDO THERE IS NOTHING FOR IT BUT THAT HE MUST TAKE YOU WITH HIM,"Then, says Sir Fernando, there is nothing for it but that we must take you with him.",1.0,-0.3698254046232804,0.0792505294084549,1.05,Non-Hallucination Error,no_hallucination,member_4,
adversarial,adv_5683-32866-0023,ALL THE FURNITURE BELONGED TO OTHER TIMES,All the fractional norms are the same.,1.0,-1.0388978322347004,0.2509231269359588,0.8837209302325582,Hallucination Error,hallucination,member_4,
adversarial,adv_4992-41806-0001,TO NIGHT THERE WAS NO NEED OF EXTRA HEAT AND THERE WERE GREAT CEREMONIES TO BE OBSERVED IN LIGHTING THE FIRES ON THE HEARTHSTONES,"Tonight there was no leader actually, and there was great tenderness to be a person like the fires on the hearts of animals.",1.0,-0.8864532996868265,0.2917171716690063,1.2783505154639174,Hallucination Error,hallucination,member_4,
adversarial,adv_8555-292519-0015,HE HAD BROKEN INTO HER COURTYARD,"You have something to be sure of, Kirt Lines.",1.5,-1.2386995553970337,0.3244033753871918,0.8823529411764706,Hallucination Error,hallucination,member_4,
adversarial,adv_2830-3979-0004,IT WAS WRITTEN IN LATIN,It was written in the writing.,1.2,-0.7395174503326416,0.3984888792037964,0.8823529411764706,Hallucination Error,hallucination,member_4,
adversarial,adv_3729-6852-0032,SIMPLY BY STOPPING HER CARRIAGE TWO OR THREE TIMES BEFORE THE SHOP TO HAVE HER SNUFF BOX FILLED AND BY SAYING ALOUD TO THE YOUNG GIRL WHO HANDED BACK THE BOX THAT HER SNUFF WAS THE VERY BEST IN PARIS,"Since she was about to be her character two or three times before the shot, an adverb turned off still, and by saying aloud to the young girls who managed to act the most at first not, was a very apt encounter.",1.05,-0.759502615247454,0.334631472826004,1.4583333333333333,Hallucination Error,hallucination,member_4,
adversarial,adv_7127-75946-0020,FAR FROM IT SIRE YOUR MAJESTY HAVING GIVEN NO DIRECTIONS ABOUT IT THE MUSICIANS HAVE RETAINED IT,"On the front of the sire, the majesty has given no directions about it, but the musicians are repented.",1.1176470588235294,-0.595926496717665,0.2735722362995147,1.1839080459770115,Hallucination Error,hallucination,member_4,
adversarial,adv_4446-2271-0005,SHE SAVES HER HAND TOO SHE'S AT HER BEST IN THE SECOND ACT,She saves her hands too. She had her best in the same way.,1.0,-0.7375109990437826,0.1261151731014251,1.0,Hallucination Error,hallucination,member_4,
