dataset,sample_id,reference_text,pred_text,wer,avg_logprob,no_speech_prob,compression_ratio,label_3class,hallucination_binary,annotator_id,notes,source_file,meeting_id,speaker,noise_type,snr_db,audio_path,y,lm_avg_neg_logprob,lm_perplexity,lm_surprisal_std,repetition_ratio,unique_token_ratio,token_count,true,pred,score
librispeech_fallback,ls_0024__pink_10dB,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,"It is obviously unnecessary for us to point out how luminous these criticisms are, how delicate an expression.",1.0,-0.1639738999880277,0.0187575276941061,1.1702127659574468,Hallucination Error,hallucination,,,librispeech_annotation_noisy.csv,,unknown,pink,10.0,,1,4.97166109085083,144.26632792700767,3.5965781211853027,0.0,0.9523809523809523,21,1,0,0.23922552088776017
adversarial,adv_4446-2271-0005,SHE SAVES HER HAND TOO SHE'S AT HER BEST IN THE SECOND ACT,She saves her hands too. She had her best in the same way.,1.0,-0.7375109990437826,0.1261151731014251,1.0,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,5.170769691467285,176.05028975498712,3.623422145843506,0.0,0.8666666666666667,15,1,0,0.2872541508079871
adversarial,adv_3575-170457-0024,I DON'T ALWAYS SUCCEED FOR SOMETIMES WHEN I'M TEACHING OR SEWING I WOULD RATHER BE READING OR WRITING BUT I TRY TO DENY MYSELF AND MY FATHER'S APPROBATION AMPLY REWARDED ME FOR THE PRIVATION,"I don't always succeed, because sometimes when I'm teaching or studying, I would rather be reading or writing, but I try to deny my thought, and my father's affirmation, and we reward him with permission.",0.9411764705882352,-0.4202137756347656,0.0874821990728378,1.4166666666666667,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.073645114898682,58.770798940920685,3.040484666824341,0.0,0.7954545454545454,44,1,0,0.33595388965417056
librispeech_fallback,ls_0006__pink_10dB,THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS,"The strength that enables someone in a trance to hold his body stiff and unsupported except at two points, the head and heels.",1.0,-0.1408074985850941,0.0042577004060149,1.2352941176470589,Hallucination Error,hallucination,,,librispeech_annotation_noisy.csv,,unknown,pink,10.0,,1,5.58462381362915,266.30008543152064,3.3372132778167725,0.0,0.96,25,1,0,0.23193650548066708
adversarial,adv_4446-2273-0002,LAMB WOULDN'T CARE A GREAT DEAL ABOUT MANY OF THEM I FANCY,I would care to do it without having to have a high dancing.,1.0833333333333333,-1.1235563614789177,0.2425292283296585,0.967741935483871,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.78107213973999,119.23211503042317,3.261305809020996,0.0,0.9285714285714286,14,1,0,0.2529390843259483
adversarial,adv_7021-85628-0002,HE WAS SUCH A BIG BOY THAT HE WORE HIGH BOOTS AND CARRIED A JACK KNIFE,"He was sought of able, and he was on loop, and carried to Jack Night.",1.0,-0.7601513181413923,0.1834887415170669,1.0298507462686568,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,6.408710479736328,607.1102950462129,3.7007713317871094,0.0,0.8333333333333334,18,1,0,0.29442042171318
adversarial,adv_1188-133604-0037,EVERY LINE IN WHICH THE MASTER TRACES IT EVEN WHERE SEEMINGLY NEGLIGENT IS LOVELY AND SET DOWN WITH A MEDITATIVE CALMNESS WHICH MAKES THESE TWO ETCHINGS CAPABLE OF BEING PLACED BESIDE THE MOST TRANQUIL WORK OF HOLBEIN OR DUERER,"Every morning, after every visit, even I see in the night, with my blood and so down in the meditative calmness, which makes these citizens capable of being great and so much tranquil with the full light of the viewer.",1.0256410256410255,-0.9341236994816706,0.358360081911087,1.4533333333333334,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.8187971115112305,123.81606424823465,3.2100253105163574,0.0,0.7659574468085106,47,1,0,0.3534393748769129
adversarial,adv_7176-88083-0006,IT MIGHT HAVE SEEMED THAT A TROUT OF THIS SIZE WAS A FAIRLY SUBSTANTIAL MEAL,It might have seen the drop of this isalaphera with substantial meal.,1.0,-0.8832141876220703,0.1118905693292617,1.0147058823529411,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,6.090127944946289,441.4778923978789,3.0247414112091064,0.0,1.0,17,1,0,0.20730420157424936
adversarial,adv_7127-75946-0028,BY DEGREES ALL HIS HAPPINESS ALL HIS BRILLIANCY SUBSIDED INTO REGRET AND UNEASINESS SO THAT HIS LIMBS LOST THEIR POWER HIS ARMS HUNG HEAVILY BY HIS SIDES AND HIS HEAD DROOPED AS THOUGH HE WAS STUPEFIED,"I agree all his happiness, all his brilliancy, subsided in his regret and uneasiness, so that his limbs lost their power, his arms hung heavily by his sides, and his head grouped as though he was suitable.",1.0277777777777777,-0.3435501163288698,0.164536103606224,1.4963503649635037,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,4.4610772132873535,86.58072478789497,3.7708613872528076,0.0,0.75,48,1,0,0.365542689308081
adversarial,adv_260-123286-0023,THE RAFT WAS HEAVED UP ON A WATERY MOUNTAIN AND PITCHED DOWN AGAIN AT A DISTANCE OF TWENTY FATHOMS,The route will speed up our water mountain and it's challenging that this is a 20-ounce.,1.0,-0.9193466020667036,0.0507272966206073,1.0602409638554218,Hallucination Error,hallucination,member_4,,adversarial_labels (2).csv,,,,,,1,5.445417404174805,231.6939695615193,3.548927068710327,0.0,1.0,20,1,0,0.21243568268756763
