dataset,sample_id,reference_text,pred_text,wer,avg_logprob,no_speech_prob,compression_ratio,label_3class,hallucination_binary,annotator_id,notes
commonvoice,ls_0,THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,"The other voice snapped with a harsh urgency, clearly used to command.",1,-0.246680091,0.003726024,0.972222222,Non-Hallucination Error,no_hallucination,mishr,
commonvoice,ls_1,WHERE IS THAT,Where is that?,1,-0.500698294,0.021553446,0.636363636,Non-Hallucination Error,no_hallucination,mishr,
commonvoice,ls_2,OH NO I'M QUITE SURE HE DIDN'T,"Oh no, I'm quite sure he didn't.",1,-0.245497414,0.013923734,0.8,Non-Hallucination Error,no_hallucination,mishr,
commonvoice,ls_3,NOT EXACTLY RETURNED KALIKO,"Not exactly, we've turned calico.",1.25,-0.420678655,0.024483843,0.804878049,Hallucination Error,hallucination,mishr,
commonvoice,ls_4,I ALSO OFFERED TO HELP YOUR BROTHER TO ESCAPE BUT HE WOULD NOT GO,"I also offered to help your brother to escape, but he would not go.",0.928571429,-0.221234221,0.028293703,0.971014493,No Error,no_hallucination,mishr,
commonvoice,ls_5,HAVING RETURNED TO THE ROYAL CAVERN KALIKO FIRST POUNDED THE GONG AND THEN SAT IN THE THRONE WEARING RUGGEDO'S DISCARDED RUBY CROWN AND HOLDING IN HIS HAND THE SCEPTRE WHICH RUGGEDO HAD SO OFTEN THROWN AT HIS HEAD,"Having returned to the Royal Cavern, Calico first pounded the gong and then sat into the throne, wearing Regato's discarded ruby crown and holding in his hand the scepter which Regato had so often thrown at his head.",1,-0.259935691,0.002929406,1.469387755,Hallucination Error,hallucination,mishr,
commonvoice,ls_6,THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS,"The strength that enables someone in a trance to hold his body stiff and unsupported except at two points, the head and heels.",1,-0.143514142,0.004040424,1.235294118,Non-Hallucination Error,no_hallucination,mishr,
commonvoice,ls_7,HE THOUGHT IT WAS A LAST BURST OF ENERGY HE KNEW HOW CLOSE THEY BOTH WERE TO EXHAUSTION,He thought it was the last burst of energy. He knew how close they both were to exhaustion.,1,-0.164912682,0.010001875,1.109756098,Hallucination Error,hallucination,mishr,
commonvoice,ls_8,THERE WAS SILENCE THEN AND STILL WONDERING BRION WAS ONCE MORE ASLEEP,"There was silence then, and, still wondering, Brienne was once more asleep.",1,-0.21025939,0.005211761,1.02739726,Non-Hallucination Error,no_hallucination,mishr,
commonvoice,ls_9,HE WAS IN REVERIE SLIDING ALONG THE BORDERS OF CONSCIOUSNESS,"He was in the river, sliding along the borders of consciousness.",1.1,-0.325996757,0.013356487,0.955223881,Hallucination Error,hallucination,mishr,
