dataset,sample_id,reference_text,pred_text,wer,avg_logprob,no_speech_prob,compression_ratio,label_3class,hallucination_binary,annotator_id,notes,source_file,meeting_id,speaker,noise_type,snr_db,audio_path,y,lm_avg_neg_logprob,lm_perplexity,lm_surprisal_std,repetition_ratio,unique_token_ratio,token_count,true,pred,score
librispeech_fallback,ls_0024__pink_10dB,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,"It is obviously unnecessary for us to point out how luminous these criticisms are, how delicate an expression.",1.0,-0.1639738999880277,0.0187575276941061,1.1702127659574468,Hallucination Error,hallucination,,,librispeech_annotation_noisy.csv,,unknown,pink,10.0,,1,4.97166109085083,144.26632792700767,3.5965781211853027,0.0,0.9523809523809523,21,1,0,0.37924808266478627
librispeech_fallback,ls_0006__pink_10dB,THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS,"The strength that enables someone in a trance to hold his body stiff and unsupported except at two points, the head and heels.",1.0,-0.1408074985850941,0.0042577004060149,1.2352941176470589,Hallucination Error,hallucination,,,librispeech_annotation_noisy.csv,,unknown,pink,10.0,,1,5.58462381362915,266.30008543152064,3.3372132778167725,0.0,0.96,25,1,0,0.4186793682829376
commonvoice,ls_51,IROLG LOOKED AMAZED AT THE SUDDEN FURY OF THE ATTACK THEN SMILED,"I rolled, clicked the maze at the sudden fury of the attack, then smiled.",1.166666667,-0.315823269,0.015230123,1.028169014,Hallucination Error,hallucination,mishr,,commonvoice_annotation_completed .csv,,,,,,1,5.662527084350586,287.87520905770384,4.580839157104492,0.0,0.8235294117647058,17,1,0,0.07126097526992288
primock_medical_noisy,mednoisy_day1_consultation07_patient,"Hello? Yes, yeah I can, I can, cheers. Uh, I am not feeling, very well. And I haven't been feeling well, for, a good few days, now, and, I'm really hoping you can do something about it, because it's been, bugging me, for a while now. Uh, I just feel a bit, run-down, you know I've got, a cough, a cold. You know, my wife's been nagging me. I just, it's just all, yeah, it's just, that, that, that's it, that's it. Uh, yeah, yeah, mean, mostly, dry it's a , you know it's a wee bit in the morning it's a bit worse uh, but , and you know it's, it's fairly, fairly dry, aye. Yeah, yeah, yeah, yeah, yeah, yeah. I don't like to admit that it's, you know it's talk about but, yeah it's , aye, aye. It's a wee bit, wee bit uh, yeah. Yeah, yeah, yeah, aye, aye you're right. Is that, is that coming through loud and clear on the phone yeah the, the sniffling, yeah, . Yeah , ugh, yeah, yeah. I've, I've had a bit of a sore throat. I mean, I, you know, , I'm doing a lot of uh, you know I'm, , watching the, watching the football as well. So I do a lot of shouting at that, but uh, uh, uh, I'm not sure if that's related or not. Uh, well it's a team, called, Partick Thistle. And they're in the, they're not even in the top division, uh, of the Scottish, league. They're actually in the, the, the championship, which is the league below that, and they're, bottom of the table. So I've been, shouting myself a wee bit hoarse, 'cause their performance has been, uh, pretty shite, if I'm being honest with you. . , yeah, yeah, yeah. , aye, I mean aye, I, I shave, every day so I'm, I'm looking at myself, it's not, not, not a pretty sight to be honest at the best of times but it's been a, wee bit, a wee bit rough, uh, the last few days for sure. Ohh right, right aye. , sorry you mean I'm looking ah right yeah uh. , no I , I don't, I don't really like to look, you know to look at it so I, I, I haven't, haven't tried to do any of that. Uh, yeah, , a, a wee bit I mean . You know, I'm fit, I'm , I'm fifty years old now and my, my hearing's, you know it's not as good as it used to be but, you know I , I, I think, I think it's all right, it's all right. Uh. Uh, no. No , no it's, it's not . No, no, no, . , sorry, what was that? No it's, it's, it's, it's not, it's not good. It's not good. No. No, no. Yeah, yeah. No, no it's, it's, it's weird, it's, it's just, you know it's just a wee bit, it's just a wee bit shortness of breath, but it's not, , it's, it's not, it's not pain, you know, as such. Yeah, yeah that's, that's, that's, that's definitely something I've noticed. Like, you know in, in bed with the wife and having to, you know get out and, get the blanket off, and put it back on again it's, it's not, it's not pleasant. I mean, I'm keeping her up at night as well, which is a, bloody nightmare but, I mean, you know how these things are. But uh, no I mean, no you know, you know, I can, I just feel it in my forehead but, I mean, I haven't, haven't, you know, used a thermometer or anything. Uh, the, the first, the first day I had, you know a wee bit, of uh, , you know uh, you know the rot like, a wee bit of diarrhoea. You know but, but that, that's, that's fine, now. Um, and, , yeah but, but apart from that, , no. Uh, yeah I mean I'm, I'm, I'm trying to and I think what, what is you , you starve, a cold and you, feed the. I, can't remember what it is, but I think I've, uh, my appetite's been, been all right yeah, yeah. I'm trying to, trying to keep, keep the fluids up as well you know, I hear that's what you should do. Yeah. Yeah it's, it's, it's just been a wee . I mean again, you know I'm , I'm getting a just a wee bit older now so it, it's, it's not something that I, I was thinking about but, I have, I have noticed like when I, you know, when I'm bending down and. Know moving about, it's just, a wee, a wee bit stiffer than, than normal. , you know and I'm, I think that might be to do with whatever this. Thing is, but, again it's, you know, I'm just getting on. It it's, just kinda, like you know when you're, when you're bending like, elbows and knees and just, just a wee bit, kinda stiff, you know? Yeah. Yeah I would say what day is it today? It's uh, , Wednesday, so it would have been, what is it Saturday, 'cause I was out. Yeah I was out having dinner, and then, yeah I, I came, yeah, yeah, yeah it would have been that. 'Cause I was out, for my wife's, uh she's, she was, doing this wee thing, we had a wee bit of a celebration, so we were out for that. And I remember saying to her, it was like you know what? I'm, I'm, I'm not feeling, great. You know I , I stuck it out with her but, aye, it would have been that, Saturday. So, what's that about five, five days ago? Yeah, yeah, yeah, yeah. No I haven't been, haven't been , I mean, as I said, I was out with my wife. I don't know whether it's like, you know, the restaurant we went to was like, it was like, pretty good, so I wouldn't have expected them to be serving me anything. Dodgy or anything like that but, I , I, I, I don't know, you know. So, , nothing that I can see. Well, my wife, has just been, uh, promoted. So, she's now going to be, uh, a head teacher, of, of primary school. So, just took her out. . Yeah, wee, a wee night on the tiles, for that, so uh, it was good, . Yeah, yeah. Uh, I mean , I'm a , I'm a wee bit, on the chunky side. You know, uh, you know I've, I've got a wee bit, a wee bit round the midriff, the spare tyre's, definitely there. Uh, and I've, I've got the uh, I've got the diabetes. Uh, it's, it's uh, type, two, two. Aye, type one, , aye, aye. 'Cause he said, the doctor I spoke to, he was sort of saying like, you know, as a bigger guy, it's, it's kinda, it's kinda like, yeah, and . And uh, aye, when I was speaking to uh, it was this, it was other, another doctor I spoke to a while ago but. Aye when he, took the, when he was telling me this as well he, took my blood pressure and that said that was, that was high, uh, high, higher than it should be. . Yeah, yeah. Uh, give me, I'm just gonna check. It's, it's, let me know if I'm pronouncing this correctly 'cause I haven't got, I haven't got my glasses with me. So, it's , Metformin? and, and there's another one, , Lisinopril? Is that? Yeah, . I mean that's those two, I had, I've got them written down a wee bit of paper so. Uh, no, no, just, just, just those two. Yeah, I mean a wee bit of like , a wee bit of Aspirin or whatever every now and again, but you know nothing long-term. Uh, not that I'm, not that I'm aware of. You know, I mean, what, what are the, what are the allergies you get? Just, you know, nah, not. Right ah, yeah. No, nothing, nothing that, nothing that I'm aware of, doctor's never said nothing to me, so. Uh, no, no, kids, the kids have uh, they've flown the nest. So uh, now it's just me and the missus, you know, good life. Uh, I am . Yep, yeah, yeah um, . Uh, well I'm, it's one of the, there's a wee factory, just uh, down the road, um, so we just you know, we just manufacture like uh. Uh, it's like, kind of steel, steel parts, uh, things like that. You know, so it's a, good wee job, you know, keeps us, a roof over the, over us. Yeah , yeah, aye, exact, exactly . Uh. I, I do, I do like a wee drink. Uh, aye the doc, the old, doctor I had, he, he, he did say I was drinking just a wee, a wee bit too much. I mean I'm not like, you know I'm not, not an alky or anything, but just, just uh, yeah, do like a few, a few pints every now and again. Uh, pints? . You know, maybe, maybe what like four, four pints on like Saturday and then, you know on, Sunday as well, , maybe like. Nine, nine pints in a week, I would say. Uh, ugh, , a wee, every now and again, but I'm, I, I am trying to cut that down. I've got a wee uh, what are those wee things called? The wee vaporisers. Yeah I've got, I got, I got myself one of those, so I've been, I've been cutting down on the cigarettes. Uh, and I just got this wee, this wee thing, it's great, it is, it's actually like amazing, by the way. Thank you. Mm-hmm. Right. Yes , aye. Aye. Right, so , so if, so if I'm, I just , just lie down and take it easy. If I'm still, feeling a bit rubbish then, I go in, I . All right, OK. OK, so I just, plenty of rest, lots of water, hopefully this thing pass. Right, that is, that's perfect, that's just what, , what I wanted to hear. Cheers. Aye, I hope so, I hope so. It's not, not looking too good, but uh, aye. Right, cheers, cheers, .","Hello? Yes, yeah, I can. I can choose. I am not feeling very well and I haven't been feeling well for a good few days now and I'm really hoping you can do something about it because it's been bugging me for a while now. I just feel a bit run down, you know, I've got a cough, a cold, you know, it's just been nagging me, it's just all, yeah, it's just, that's it, that's it. Yeah, yeah, I mean, mostly dry, you know, it's a wee bit. In the morning it's a bit worse, but you know, it's fairly dry. Yeah, yeah, yeah, yeah, yeah. I don't know if I've met that, it's, you know, not something I would talk",0.5325714285714286,-0.434454919741372,0.5355956902513739,1.6871449318230165,Non-Hallucination Error,no_hallucination,member_5,,primock_medical_noisy_labels.csv,,,,,/content/primock57/audio/day1_consultation07_patient.wav,0,2.481295108795166,11.95673967332874,2.113041877746582,0.0,0.3930635838150289,173,0,1,0.9201849627973225
commonvoice,ls_36,I HOPE HE DOESN'T WORK TOO HARD SAID SHAGGY,"I hope it doesn't work too hard, since shaggy.",0.888888889,-0.259238243,0.002833085,0.851851852,Hallucination Error,hallucination,mishr,,commonvoice_annotation_completed .csv,,,,,,1,4.4135942459106445,82.56569222750619,3.1059999465942383,0.0,1.0,14,1,0,0.1307877509731358
primock_medical_noisy,mednoisy_day2_consultation01_patient,"Yep. Can you find Uh yeah, uh Jack Smith, uh thirty first October nineteen ninety. I am, yes Yeah, so I just feel I can't really hear as well as I used to, like my hearing is kind of deteriorating in some way. Uh about six weeks. Um I had something maybe, about a year ago, but it only lasted a couple of days, it wasn't anything as long as this. Um, I occasionally get like a ringing in my left ear, uh just on the one side and um there's actually been a few times when I felt kind of a bit sick or a bit dizzy as well. Uh just the left ear, yeah. It seems be yeah. Mh-mm. Yeah. Uh it's kind of on and off. Like some things trigger it as well. So, for example, if I'm watching TV or listen to music or something that'll solve the ringing in the ear. Uh no my left ear . Uh, not specifically apart from the dizziness so much. Uh nah I'll do it . OK. OK. Yeah. Uh nothing major it's just kind of uh it's, it's not the kind of dizziness you get with nausea, like uh not, not proper room spinning or anything like that but just, just a little bit kind of off balance. No. is that the sort of thing that can cause uh like this uh ringing I've got in my ear, 'cause it seems . Right. OK. OK. Sure. OK. Yeah it sounds great. OK brilliant. OK. Thank you. See you later.","Can you find? Jack Smith 31st October 1990 I am Miss Yeah so I just feel like I can't really hear as well as I used to like I can hear the deteriorating in some way About six weeks I had something maybe about a year ago but it only lasted a couple of days. It wasn't anything as long as this. I occasionally get like a ringing in my left ear just on the and there's actually been a few times when I felt kind of a bit sick or a bit dizzy as well. I'll just left it here. It seems to be a... It's kind of on and off, like some things trigger it as well, so for example if I'm watching TV or listening ",0.4521072796934866,-0.5827325326825109,0.388355023585833,1.1857442839736037,Non-Hallucination Error,no_hallucination,member_5,,primock_medical_noisy_labels.csv,,,,,/content/primock57/audio/day2_consultation01_patient.wav,0,3.9972009658813477,54.44554162609061,2.8470675945281982,0.0,0.6413793103448275,145,0,1,0.8785483073323581
commonvoice,ls_9,HE WAS IN REVERIE SLIDING ALONG THE BORDERS OF CONSCIOUSNESS,"He was in the river, sliding along the borders of consciousness.",1.1,-0.325996757,0.013356487,0.955223881,Hallucination Error,hallucination,mishr,,commonvoice_annotation_completed .csv,,,,,,1,5.110592365264893,165.7685213097022,3.9623992443084717,0.0,0.9230769230769231,13,1,0,0.1329570093702065
primock_medical_noisy,mednoisy_day5_consultation05_doctor,"Hi there, I'm Doctor Smith from Babylon. Hi. Can you just confirm your name, date of birth and your address, please? I see, sounds a bit . Um. Are you in a private place so you can have a consultation today? Are you in a private place so you can have a consultation today? What can I do for you? OK. And any pain like this in the past? OK, can you just describe to me whereabouts it is? Can you describe to me whereabouts the pain is? Is it, is it. Yeah. Is it in the middle or to one side? In the middle, OK. And any other symptoms along that, with that? Have you had any nausea or any vomiting? OK. Any change in your bowel habit recently, or any diarrhoea? Constipation? to the toilet? When did you last go to the toilet? And was it normal? Any blood in the stool? OK. And has this ever happened in the past before? Right. Any pain when you pass water? Are you having to go more often than normal? Are you more thirsty than normal? And you said you felt hot and cold. Have you measured your temperature? What was it? Thirty seven. Have you measured it at any other time when it's been raised? Have you measured it at any other time when it's been raised? OK, that's fine. And, are you getting any pain higher up in your stomach? Any acid coming up into your throat or anything like that? OK. And any other discharge below? OK. Um, and have you been abroad recently? No. And no similar problems to this before? Have you had any other medical problems in the past? OK, nothing significant. Any allergies to medications? OK. Do you take any regular medications? Any over the counter medications? OK. Um, and do you have regular periods? Any bleeding in between periods or after intercourse? OK. Right. Um, and you haven't felt shivery or sweaty? You said you had felt a bit sweaty. OK. And any, any back pain or strong smell to the urine? Right, OK. Anyone in your family had any medical problems before? OK. OK. And who do you live with at home? Who do you live with at home? And, do you smoke or drink alcohol regularly? How much in a normal week? And how much? What per time? OK. Right, OK. Um, so, it, it may be possible that you might be having an infection in the urine. If you feel like you're, you're going, you're having a little bit of difficulty when you're passing urine. Um, it might be worth taking a three day course of antibiotics. To clear that. Um, but, if the pain is getting worse, or you have a high temperature or back pain or develop any new symptoms, we feel like it's not getting better, then, um, we should speak to you again, because we might need to see you face-to-face for an examination. Um, have you allocated a pharmacy with Babylon? OK. So, are you happy to take a course of antibiotics, if I send it through to the pharmacy? OK, so I can do that for you. Start taking them as soon as you get them, it's just twice a day for three days. Um, if your pain's getting worse, um, or you've got new symptoms, just contact us straightaway, or if you're getting a recurrence of the same problem again. OK? Alright then, have you got any other questions? OK, thanks a lot. Bye.","Hi, I'm Dr Smith from Lavellum. Hi, can you see my family name, please? Hi. Are you in a private case, you can have a consultation today? Are you in private place so you can have a consultation today? What could it be? Okay, and any pain like this in the past? Okay, can you just try to be aware of what the pain is? Is it in the middle or to one side? In the middle. Okay, and any other symptoms along that with that? any nausea or vomiting? Okay, any change in your bowel habit recently or your diarrhea constipation? And the bowel goes to the toilet. When is your bowel scoped to the toilet? And w",0.3918918918918919,-0.5357557298577627,0.2432921177201103,1.3074701247440974,Hallucination Error,hallucination,member_5,,primock_medical_noisy_labels.csv,,,,,/content/primock57/audio/day5_consultation05_doctor.wav,1,3.8644371032714844,47.67642797273501,2.6968557834625244,0.0,0.527027027027027,148,1,0,0.4711093855395896
librispeech_fallback,ls_0007__babble_10dB,HE THOUGHT IT WAS A LAST BURST OF ENERGY HE KNEW HOW CLOSE THEY BOTH WERE TO EXHAUSTION,He thought it was the last burst of energy. He knew how close they both were to exhaustion.,1.0,-0.194943790435791,0.0185582507401704,1.1097560975609757,Hallucination Error,hallucination,,,librispeech_annotation_noisy.csv,,unknown,babble,10.0,,1,4.004673004150391,54.853884473531544,3.1050426959991455,0.0,0.95,20,1,0,0.42292531252087195
librispeech_fallback,ls_0006__white_10dB,THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS,"The strength that enables someone in a trance to hold his body stiff and unsupported except at two points, the head and heels.",1.0,-0.1689726945125695,0.0077662970870733,1.2352941176470589,Hallucination Error,hallucination,,,librispeech_annotation_noisy.csv,,unknown,white,10.0,,1,5.58462381362915,266.30008543152064,3.3372132778167725,0.0,0.96,25,1,0,0.41675233715902343
